Category,Resume_str
Web Developer,"Experienced Web Developer with 8+ years of hands-on experience in the Web Developer domain. Passionate about delivering impactful results and working in cross-functional teams. Web Developer at Wix (2019–2024): Led initiatives involving Vue.js, accessibility, and GraphQL. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging responsive design and TypeScript. Junior Web Developer at Automattic (2024–2027): Worked on projects using Node.js, Sass, and Webpack. Contributed to team goals and supported senior staff with SEO tasks. Technical Skills: Vue.js, accessibility, GraphQL, responsive design, TypeScript, Node.js, Sass, Webpack, SEO, React Education: B.S. in Web Development from Arizona State. Certifications: Completed relevant professional development in accessibility and Vue.js."
Finance,"Experienced Risk Analyst with 3+ years of hands-on experience in the Finance domain. Passionate about delivering impactful results and working in cross-functional teams. Risk Analyst at Two Sigma (2015–2016): Led initiatives involving risk management, Python, and budgeting. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging Excel and financial reporting. Junior Risk Analyst at Morgan Stanley (2016–2018): Worked on projects using forecasting, CFA, and financial modeling. Contributed to team goals and supported senior staff with fixed income tasks. Technical Skills: risk management, Python, budgeting, Excel, financial reporting, forecasting, CFA, financial modeling, fixed income, SQL Education: CFA Charterholder. Certifications: Completed relevant professional development in financial reporting and forecasting."
Data Science,"Experienced Data Scientist with 6+ years of hands-on experience in the Data Science domain. Passionate about delivering impactful results and working in cross-functional teams. Data Scientist at Netflix (2020–2022): Led initiatives involving deep learning, machine learning, and Python. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging NumPy and pandas. Junior Data Scientist at Airbnb (2022–2026): Worked on projects using computer vision, R, and data visualization. Contributed to team goals and supported senior staff with Hadoop tasks. Technical Skills: deep learning, machine learning, Python, NumPy, pandas, computer vision, R, data visualization, Hadoop, TensorFlow Education: B.S. in Statistics from UC Berkeley. Certifications: Completed relevant professional development in machine learning and TensorFlow."
Web Developer,"Experienced React Developer with 8+ years of hands-on experience in the Web Developer domain. Passionate about delivering impactful results and working in cross-functional teams. React Developer at Wix (2017–2022): Led initiatives involving React, TypeScript, and CSS. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging Angular and accessibility. Junior React Developer at Automattic (2022–2025): Worked on projects using Webpack, Next.js, and SEO. Contributed to team goals and supported senior staff with Tailwind CSS tasks. Technical Skills: React, TypeScript, CSS, Angular, accessibility, Webpack, Next.js, SEO, Tailwind CSS, Node.js Education: B.S. in Web Development from Arizona State. Certifications: Completed relevant professional development in SEO and Angular."
Finance,"Experienced Portfolio Manager with 3+ years of hands-on experience in the Finance domain. Passionate about delivering impactful results and working in cross-functional teams. Portfolio Manager at Two Sigma (2020–2021): Led initiatives involving fixed income, M&A, and portfolio management. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging investment banking and SQL. Junior Portfolio Manager at Citadel (2021–2023): Worked on projects using budgeting, equity research, and GAAP. Contributed to team goals and supported senior staff with financial reporting tasks. Technical Skills: fixed income, M&A, portfolio management, investment banking, SQL, budgeting, equity research, GAAP, financial reporting, Bloomberg Education: B.S. in Finance from Wharton. Certifications: Completed relevant professional development in SQL and fixed income."
Software Engineer,"Experienced Full Stack Engineer with 2+ years of hands-on experience in the Software Engineer domain. Passionate about delivering impactful results and working in cross-functional teams. Full Stack Engineer at Twilio (2019–2020): Led initiatives involving Kubernetes, system design, and Node.js. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging Python and Git. Junior Full Stack Engineer at Microsoft (2020–2021): Worked on projects using PostgreSQL, Linux, and Go. Contributed to team goals and supported senior staff with C++ tasks. Technical Skills: Kubernetes, system design, Node.js, Python, Git, PostgreSQL, Linux, Go, C++, REST APIs Education: M.S. in Software Engineering from Purdue. Certifications: Completed relevant professional development in PostgreSQL and system design."
Data Science,"Experienced ML Engineer with 5+ years of hands-on experience in the Data Science domain. Passionate about delivering impactful results and working in cross-functional teams. ML Engineer at Google (2019–2021): Led initiatives involving deep learning, A/B testing, and data visualization. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging R and Tableau. Junior ML Engineer at Netflix (2021–2024): Worked on projects using machine learning, SQL, and NumPy. Contributed to team goals and supported senior staff with Python tasks. Technical Skills: deep learning, A/B testing, data visualization, R, Tableau, machine learning, SQL, NumPy, Python, scikit-learn Education: Ph.D. in Machine Learning from MIT. Certifications: Completed relevant professional development in Tableau and scikit-learn."
Marketing,"Experienced Growth Marketer with 5+ years of hands-on experience in the Marketing domain. Passionate about delivering impactful results and working in cross-functional teams. Growth Marketer at Unilever (2019–2020): Led initiatives involving brand strategy, digital marketing, and marketing automation. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging email marketing and social media management. Junior Growth Marketer at Publicis (2020–2024): Worked on projects using paid media, campaign management, and Facebook Ads. Contributed to team goals and supported senior staff with Salesforce tasks. Technical Skills: brand strategy, digital marketing, marketing automation, email marketing, social media management, paid media, campaign management, Facebook Ads, Salesforce, copywriting Education: B.S. in Business from USC. Certifications: Completed relevant professional development in Facebook Ads and email marketing."
Marketing,"Experienced Digital Marketing Specialist with 5+ years of hands-on experience in the Marketing domain. Passionate about delivering impactful results and working in cross-functional teams. Digital Marketing Specialist at P&G (2018–2020): Led initiatives involving HubSpot, marketing automation, and Salesforce. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging copywriting and campaign management. Junior Digital Marketing Specialist at Unilever (2020–2023): Worked on projects using conversion optimization, market research, and Facebook Ads. Contributed to team goals and supported senior staff with email marketing tasks. Technical Skills: HubSpot, marketing automation, Salesforce, copywriting, campaign management, conversion optimization, market research, Facebook Ads, email marketing, Google Analytics Education: B.A. in Marketing from NYU. Certifications: Completed relevant professional development in campaign management and conversion optimization."
Finance,"Experienced Financial Analyst with 4+ years of hands-on experience in the Finance domain. Passionate about delivering impactful results and working in cross-functional teams. Financial Analyst at Citadel (2017–2018): Led initiatives involving investment banking, forecasting, and fixed income. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging Python and Bloomberg. Junior Financial Analyst at Bridgewater (2018–2021): Worked on projects using equity research, derivatives, and GAAP. Contributed to team goals and supported senior staff with risk management tasks. Technical Skills: investment banking, forecasting, fixed income, Python, Bloomberg, equity research, derivatives, GAAP, risk management, portfolio management Education: MBA from Harvard Business School. Certifications: Completed relevant professional development in portfolio management and investment banking."
Marketing,"Experienced Growth Marketer with 5+ years of hands-on experience in the Marketing domain. Passionate about delivering impactful results and working in cross-functional teams. Growth Marketer at WPP (2016–2020): Led initiatives involving Facebook Ads, conversion optimization, and content strategy. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging CRM and SEM. Junior Growth Marketer at Publicis (2020–2021): Worked on projects using HubSpot, copywriting, and paid media. Contributed to team goals and supported senior staff with SEO tasks. Technical Skills: Facebook Ads, conversion optimization, content strategy, CRM, SEM, HubSpot, copywriting, paid media, SEO, influencer marketing Education: MBA from Kellogg School of Management. Certifications: Completed relevant professional development in HubSpot and content strategy."
Cybersecurity,"Experienced Penetration Tester with 6+ years of hands-on experience in the Cybersecurity domain. Passionate about delivering impactful results and working in cross-functional teams. Penetration Tester at Symantec (2019–2022): Led initiatives involving forensics, SIEM, and incident response. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging GDPR compliance and network security. Junior Penetration Tester at FireEye (2022–2025): Worked on projects using vulnerability assessment, zero trust, and malware analysis. Contributed to team goals and supported senior staff with IAM tasks. Technical Skills: forensics, SIEM, incident response, GDPR compliance, network security, vulnerability assessment, zero trust, malware analysis, IAM, ethical hacking Education: M.S. in Information Security from Carnegie Mellon. Certifications: Completed relevant professional development in forensics and malware analysis."
Web Developer,"Experienced React Developer with 9+ years of hands-on experience in the Web Developer domain. Passionate about delivering impactful results and working in cross-functional teams. React Developer at Webflow (2017–2022): Led initiatives involving TypeScript, Next.js, and GraphQL. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging responsive design and REST APIs. Junior React Developer at HubSpot (2022–2026): Worked on projects using HTML, SEO, and Node.js. Contributed to team goals and supported senior staff with Tailwind CSS tasks. Technical Skills: TypeScript, Next.js, GraphQL, responsive design, REST APIs, HTML, SEO, Node.js, Tailwind CSS, Firebase Education: Self-taught with bootcamp certification. Certifications: Completed relevant professional development in HTML and SEO."
Data Science,"Experienced Data Scientist with 8+ years of hands-on experience in the Data Science domain. Passionate about delivering impactful results and working in cross-functional teams. Data Scientist at Meta (2020–2024): Led initiatives involving SQL, pandas, and machine learning. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging R and NLP. Junior Data Scientist at Google (2024–2028): Worked on projects using Hadoop, PyTorch, and Tableau. Contributed to team goals and supported senior staff with statistical modeling tasks. Technical Skills: SQL, pandas, machine learning, R, NLP, Hadoop, PyTorch, Tableau, statistical modeling, A/B testing Education: M.S. in Data Science from Stanford University. Certifications: Completed relevant professional development in PyTorch and pandas."
Data Science,"Experienced Analytics Lead with 2+ years of hands-on experience in the Data Science domain. Passionate about delivering impactful results and working in cross-functional teams. Analytics Lead at Airbnb (2020–2021): Led initiatives involving machine learning, NumPy, and A/B testing. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging Tableau and feature engineering. Junior Analytics Lead at OpenAI (2021–2022): Worked on projects using statistical modeling, Jupyter, and scikit-learn. Contributed to team goals and supported senior staff with R tasks. Technical Skills: machine learning, NumPy, A/B testing, Tableau, feature engineering, statistical modeling, Jupyter, scikit-learn, R, Spark Education: B.S. in Statistics from UC Berkeley. Certifications: Completed relevant professional development in Tableau and machine learning."
Healthcare,"Experienced Registered Nurse with 4+ years of hands-on experience in the Healthcare domain. Passionate about delivering impactful results and working in cross-functional teams. Registered Nurse at Kaiser Permanente (2020–2022): Led initiatives involving HIPAA compliance, ACLS, and surgical assistance. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging Epic and diagnostic imaging. Junior Registered Nurse at Cleveland Clinic (2022–2024): Worked on projects using healthcare analytics, CPT coding, and patient care. Contributed to team goals and supported senior staff with pharmacology tasks. Technical Skills: HIPAA compliance, ACLS, surgical assistance, Epic, diagnostic imaging, healthcare analytics, CPT coding, patient care, pharmacology, telemedicine Education: M.D. from University of Michigan Medical School. Certifications: Completed relevant professional development in Epic and CPT coding."
Finance,"Experienced Risk Analyst with 7+ years of hands-on experience in the Finance domain. Passionate about delivering impactful results and working in cross-functional teams. Risk Analyst at BlackRock (2016–2019): Led initiatives involving GAAP, Excel, and SQL. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging forecasting and budgeting. Junior Risk Analyst at JP Morgan (2019–2023): Worked on projects using financial modeling, fixed income, and valuation. Contributed to team goals and supported senior staff with CFA tasks. Technical Skills: GAAP, Excel, SQL, forecasting, budgeting, financial modeling, fixed income, valuation, CFA, equity research Education: CFA Charterholder. Certifications: Completed relevant professional development in SQL and Excel."
Healthcare,"Experienced Physician with 4+ years of hands-on experience in the Healthcare domain. Passionate about delivering impactful results and working in cross-functional teams. Physician at Kaiser Permanente (2020–2022): Led initiatives involving nursing, CPT coding, and case management. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging HIPAA compliance and telemedicine. Junior Physician at Johnson & Johnson (2022–2024): Worked on projects using healthcare analytics, BLS, and patient care. Contributed to team goals and supported senior staff with surgical assistance tasks. Technical Skills: nursing, CPT coding, case management, HIPAA compliance, telemedicine, healthcare analytics, BLS, patient care, surgical assistance, medical coding Education: B.S. in Healthcare Administration from Ohio State. Certifications: Completed relevant professional development in case management and telemedicine."
Marketing,"Experienced CMO with 4+ years of hands-on experience in the Marketing domain. Passionate about delivering impactful results and working in cross-functional teams. CMO at HubSpot (2019–2022): Led initiatives involving social media management, campaign management, and Salesforce. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging digital marketing and copywriting. Junior CMO at P&G (2022–2023): Worked on projects using brand strategy, SEO, and email marketing. Contributed to team goals and supported senior staff with SEM tasks. Technical Skills: social media management, campaign management, Salesforce, digital marketing, copywriting, brand strategy, SEO, email marketing, SEM, market research Education: B.S. in Business from USC. Certifications: Completed relevant professional development in email marketing and email marketing."
Data Science,"Experienced Analytics Lead with 5+ years of hands-on experience in the Data Science domain. Passionate about delivering impactful results and working in cross-functional teams. Analytics Lead at Meta (2015–2017): Led initiatives involving scikit-learn, Jupyter, and TensorFlow. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging NLP and machine learning. Junior Analytics Lead at DeepMind (2017–2020): Worked on projects using pandas, PyTorch, and SQL. Contributed to team goals and supported senior staff with computer vision tasks. Technical Skills: scikit-learn, Jupyter, TensorFlow, NLP, machine learning, pandas, PyTorch, SQL, computer vision, deep learning Education: Ph.D. in Machine Learning from MIT. Certifications: Completed relevant professional development in pandas and SQL."
Finance,"Experienced CFO with 7+ years of hands-on experience in the Finance domain. Passionate about delivering impactful results and working in cross-functional teams. CFO at Morgan Stanley (2016–2020): Led initiatives involving Excel, equity research, and forecasting. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging CFA and SQL. Junior CFO at Two Sigma (2020–2023): Worked on projects using fixed income, DCF analysis, and M&A. Contributed to team goals and supported senior staff with GAAP tasks. Technical Skills: Excel, equity research, forecasting, CFA, SQL, fixed income, DCF analysis, M&A, GAAP, risk management Education: MBA from Harvard Business School. Certifications: Completed relevant professional development in M&A and forecasting."
Human Resources,"Experienced HR Business Partner with 2+ years of hands-on experience in the Human Resources domain. Passionate about delivering impactful results and working in cross-functional teams. HR Business Partner at McKinsey (2017–2018): Led initiatives involving retention strategies, HRIS, and talent acquisition. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging performance management and compensation and benefits. Junior HR Business Partner at Workday (2018–2019): Worked on projects using workforce planning, succession planning, and organizational development. Contributed to team goals and supported senior staff with SAP HR tasks. Technical Skills: retention strategies, HRIS, talent acquisition, performance management, compensation and benefits, workforce planning, succession planning, organizational development, SAP HR, HR analytics Education: B.S. in Human Resources from Michigan State. Certifications: Completed relevant professional development in performance management and organizational development."
Data Science,"Experienced Data Scientist with 8+ years of hands-on experience in the Data Science domain. Passionate about delivering impactful results and working in cross-functional teams. Data Scientist at Netflix (2018–2023): Led initiatives involving Jupyter, A/B testing, and machine learning. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging NumPy and TensorFlow. Junior Data Scientist at Meta (2023–2026): Worked on projects using Hadoop, deep learning, and NLP. Contributed to team goals and supported senior staff with Spark tasks. Technical Skills: Jupyter, A/B testing, machine learning, NumPy, TensorFlow, Hadoop, deep learning, NLP, Spark, Tableau Education: M.S. in Computer Science from Carnegie Mellon. Certifications: Completed relevant professional development in Tableau and Spark."
Marketing,"Experienced Marketing Manager with 6+ years of hands-on experience in the Marketing domain. Passionate about delivering impactful results and working in cross-functional teams. Marketing Manager at HubSpot (2015–2020): Led initiatives involving email marketing, paid media, and SEO. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging Facebook Ads and content strategy. Junior Marketing Manager at Nike (2020–2021): Worked on projects using HubSpot, brand strategy, and A/B testing. Contributed to team goals and supported senior staff with Google Analytics tasks. Technical Skills: email marketing, paid media, SEO, Facebook Ads, content strategy, HubSpot, brand strategy, A/B testing, Google Analytics, influencer marketing Education: B.S. in Business from USC. Certifications: Completed relevant professional development in A/B testing and influencer marketing."
Marketing,"Experienced Growth Marketer with 6+ years of hands-on experience in the Marketing domain. Passionate about delivering impactful results and working in cross-functional teams. Growth Marketer at Publicis (2016–2019): Led initiatives involving Salesforce, Facebook Ads, and influencer marketing. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging marketing automation and campaign management. Junior Growth Marketer at HubSpot (2019–2022): Worked on projects using SEM, A/B testing, and HubSpot. Contributed to team goals and supported senior staff with CRM tasks. Technical Skills: Salesforce, Facebook Ads, influencer marketing, marketing automation, campaign management, SEM, A/B testing, HubSpot, CRM, SEO Education: B.A. in Marketing from NYU. Certifications: Completed relevant professional development in A/B testing and campaign management."
Data Science,"Experienced Senior Data Scientist with 4+ years of hands-on experience in the Data Science domain. Passionate about delivering impactful results and working in cross-functional teams. Senior Data Scientist at Netflix (2019–2020): Led initiatives involving Hadoop, data visualization, and statistical modeling. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging PyTorch and scikit-learn. Junior Senior Data Scientist at Meta (2020–2023): Worked on projects using SQL, A/B testing, and R. Contributed to team goals and supported senior staff with Tableau tasks. Technical Skills: Hadoop, data visualization, statistical modeling, PyTorch, scikit-learn, SQL, A/B testing, R, Tableau, feature engineering Education: Ph.D. in Machine Learning from MIT. Certifications: Completed relevant professional development in R and feature engineering."
Web Developer,"Experienced Frontend Developer with 6+ years of hands-on experience in the Web Developer domain. Passionate about delivering impactful results and working in cross-functional teams. Frontend Developer at Squarespace (2020–2022): Led initiatives involving TypeScript, REST APIs, and Angular. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging GraphQL and MongoDB. Junior Frontend Developer at Mailchimp (2022–2026): Worked on projects using Sass, Vue.js, and Tailwind CSS. Contributed to team goals and supported senior staff with Firebase tasks. Technical Skills: TypeScript, REST APIs, Angular, GraphQL, MongoDB, Sass, Vue.js, Tailwind CSS, Firebase, Figma Education: Self-taught with bootcamp certification. Certifications: Completed relevant professional development in REST APIs and REST APIs."
Human Resources,"Experienced Talent Acquisition Specialist with 8+ years of hands-on experience in the Human Resources domain. Passionate about delivering impactful results and working in cross-functional teams. Talent Acquisition Specialist at Workday (2020–2024): Led initiatives involving labor law, diversity and inclusion, and onboarding. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging succession planning and training and development. Junior Talent Acquisition Specialist at ADP (2024–2028): Worked on projects using employer branding, compensation and benefits, and organizational development. Contributed to team goals and supported senior staff with HR analytics tasks. Technical Skills: labor law, diversity and inclusion, onboarding, succession planning, training and development, employer branding, compensation and benefits, organizational development, HR analytics, performance management Education: M.S. in Organizational Psychology from Columbia. Certifications: Completed relevant professional development in performance management and HR analytics."
Web Developer,"Experienced Web Developer with 8+ years of hands-on experience in the Web Developer domain. Passionate about delivering impactful results and working in cross-functional teams. Web Developer at Webflow (2018–2022): Led initiatives involving Webpack, Sass, and HTML. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging GraphQL and accessibility. Junior Web Developer at Wix (2022–2026): Worked on projects using Node.js, Firebase, and CSS. Contributed to team goals and supported senior staff with Figma tasks. Technical Skills: Webpack, Sass, HTML, GraphQL, accessibility, Node.js, Firebase, CSS, Figma, Next.js Education: Self-taught with bootcamp certification. Certifications: Completed relevant professional development in Node.js and Node.js."
Cybersecurity,"Experienced CISO with 5+ years of hands-on experience in the Cybersecurity domain. Passionate about delivering impactful results and working in cross-functional teams. CISO at Okta (2018–2022): Led initiatives involving penetration testing, firewalls, and CISSP. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging cloud security and SOC. Junior CISO at SentinelOne (2022–2023): Worked on projects using incident response, zero trust, and CEH. Contributed to team goals and supported senior staff with GDPR compliance tasks. Technical Skills: penetration testing, firewalls, CISSP, cloud security, SOC, incident response, zero trust, CEH, GDPR compliance, cryptography Education: B.S. in Cybersecurity from George Mason. Certifications: Completed relevant professional development in CEH and cloud security."
DevOps,"Experienced SRE with 5+ years of hands-on experience in the DevOps domain. Passionate about delivering impactful results and working in cross-functional teams. SRE at PagerDuty (2016–2020): Led initiatives involving Jenkins, AWS, and Grafana. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging Terraform and Ansible. Junior SRE at Splunk (2020–2021): Worked on projects using Kubernetes, ELK Stack, and site reliability engineering. Contributed to team goals and supported senior staff with Helm tasks. Technical Skills: Jenkins, AWS, Grafana, Terraform, Ansible, Kubernetes, ELK Stack, site reliability engineering, Helm, Nginx Education: AWS Certified Solutions Architect. Certifications: Completed relevant professional development in Grafana and ELK Stack."
Product Management,"Experienced Product Manager with 3+ years of hands-on experience in the Product Management domain. Passionate about delivering impactful results and working in cross-functional teams. Product Manager at Linear (2019–2021): Led initiatives involving competitive analysis, SQL, and Agile. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging data analysis and go-to-market strategy. Junior Product Manager at Notion (2021–2022): Worked on projects using JIRA, product roadmap, and stakeholder management. Contributed to team goals and supported senior staff with Figma tasks. Technical Skills: competitive analysis, SQL, Agile, data analysis, go-to-market strategy, JIRA, product roadmap, stakeholder management, Figma, Scrum Education: B.S. in Business from Northwestern. Certifications: Completed relevant professional development in data analysis and Figma."
Marketing,"Experienced Digital Marketing Specialist with 8+ years of hands-on experience in the Marketing domain. Passionate about delivering impactful results and working in cross-functional teams. Digital Marketing Specialist at WPP (2019–2024): Led initiatives involving conversion optimization, brand strategy, and marketing automation. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging Facebook Ads and email marketing. Junior Digital Marketing Specialist at Unilever (2024–2027): Worked on projects using campaign management, A/B testing, and paid media. Contributed to team goals and supported senior staff with digital marketing tasks. Technical Skills: conversion optimization, brand strategy, marketing automation, Facebook Ads, email marketing, campaign management, A/B testing, paid media, digital marketing, social media management Education: B.A. in Marketing from NYU. Certifications: Completed relevant professional development in paid media and conversion optimization."
Healthcare,"Experienced Clinical Research Associate with 3+ years of hands-on experience in the Healthcare domain. Passionate about delivering impactful results and working in cross-functional teams. Clinical Research Associate at UnitedHealth (2019–2021): Led initiatives involving telemedicine, surgical assistance, and HIPAA compliance. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging case management and medical coding. Junior Clinical Research Associate at Pfizer (2021–2022): Worked on projects using care coordination, patient care, and ICD-10. Contributed to team goals and supported senior staff with healthcare analytics tasks. Technical Skills: telemedicine, surgical assistance, HIPAA compliance, case management, medical coding, care coordination, patient care, ICD-10, healthcare analytics, ACLS Education: M.P.H. from Harvard T.H. Chan School. Certifications: Completed relevant professional development in patient care and telemedicine."
Data Science,"Experienced Analytics Lead with 6+ years of hands-on experience in the Data Science domain. Passionate about delivering impactful results and working in cross-functional teams. Analytics Lead at Netflix (2016–2018): Led initiatives involving data visualization, Tableau, and Hadoop. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging machine learning and deep learning. Junior Analytics Lead at OpenAI (2018–2022): Worked on projects using Spark, R, and TensorFlow. Contributed to team goals and supported senior staff with SQL tasks. Technical Skills: data visualization, Tableau, Hadoop, machine learning, deep learning, Spark, R, TensorFlow, SQL, Python Education: M.S. in Computer Science from Carnegie Mellon. Certifications: Completed relevant professional development in data visualization and R."
Cybersecurity,"Experienced Security Engineer with 6+ years of hands-on experience in the Cybersecurity domain. Passionate about delivering impactful results and working in cross-functional teams. Security Engineer at Symantec (2019–2024): Led initiatives involving zero trust, CEH, and vulnerability assessment. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging incident response and IAM. Junior Security Engineer at Okta (2024–2025): Worked on projects using threat intelligence, CISSP, and SIEM. Contributed to team goals and supported senior staff with GDPR compliance tasks. Technical Skills: zero trust, CEH, vulnerability assessment, incident response, IAM, threat intelligence, CISSP, SIEM, GDPR compliance, network security Education: CEH Certified. Certifications: Completed relevant professional development in network security and incident response."
Data Science,"Experienced Data Scientist with 7+ years of hands-on experience in the Data Science domain. Passionate about delivering impactful results and working in cross-functional teams. Data Scientist at DeepMind (2019–2023): Led initiatives involving Hadoop, deep learning, and Jupyter. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging Python and statistical modeling. Junior Data Scientist at Airbnb (2023–2026): Worked on projects using A/B testing, scikit-learn, and Spark. Contributed to team goals and supported senior staff with pandas tasks. Technical Skills: Hadoop, deep learning, Jupyter, Python, statistical modeling, A/B testing, scikit-learn, Spark, pandas, data visualization Education: Ph.D. in Machine Learning from MIT. Certifications: Completed relevant professional development in Jupyter and Spark."
Web Developer,"Experienced UI Developer with 5+ years of hands-on experience in the Web Developer domain. Passionate about delivering impactful results and working in cross-functional teams. UI Developer at HubSpot (2016–2018): Led initiatives involving Node.js, SEO, and TypeScript. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging Vue.js and Next.js. Junior UI Developer at WordPress (2018–2021): Worked on projects using HTML, Sass, and Figma. Contributed to team goals and supported senior staff with React tasks. Technical Skills: Node.js, SEO, TypeScript, Vue.js, Next.js, HTML, Sass, Figma, React, MongoDB Education: B.S. in Computer Science from UCLA. Certifications: Completed relevant professional development in Next.js and Node.js."
Healthcare,"Experienced Clinical Research Associate with 8+ years of hands-on experience in the Healthcare domain. Passionate about delivering impactful results and working in cross-functional teams. Clinical Research Associate at Cleveland Clinic (2016–2020): Led initiatives involving infection control, care coordination, and public health. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging patient care and EMR. Junior Clinical Research Associate at UnitedHealth (2020–2024): Worked on projects using ACLS, telemedicine, and pharmacology. Contributed to team goals and supported senior staff with ICD-10 tasks. Technical Skills: infection control, care coordination, public health, patient care, EMR, ACLS, telemedicine, pharmacology, ICD-10, case management Education: B.S. in Healthcare Administration from Ohio State. Certifications: Completed relevant professional development in case management and public health."
Data Science,"Experienced Analytics Lead with 4+ years of hands-on experience in the Data Science domain. Passionate about delivering impactful results and working in cross-functional teams. Analytics Lead at Google (2018–2021): Led initiatives involving NLP, Tableau, and pandas. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging A/B testing and Spark. Junior Analytics Lead at Amazon (2021–2022): Worked on projects using scikit-learn, Hadoop, and R. Contributed to team goals and supported senior staff with PyTorch tasks. Technical Skills: NLP, Tableau, pandas, A/B testing, Spark, scikit-learn, Hadoop, R, PyTorch, computer vision Education: Ph.D. in Machine Learning from MIT. Certifications: Completed relevant professional development in NLP and PyTorch."
Data Science,"Experienced Data Scientist with 4+ years of hands-on experience in the Data Science domain. Passionate about delivering impactful results and working in cross-functional teams. Data Scientist at DeepMind (2019–2020): Led initiatives involving TensorFlow, feature engineering, and Python. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging Hadoop and NLP. Junior Data Scientist at Amazon (2020–2023): Worked on projects using pandas, R, and SQL. Contributed to team goals and supported senior staff with Spark tasks. Technical Skills: TensorFlow, feature engineering, Python, Hadoop, NLP, pandas, R, SQL, Spark, computer vision Education: M.S. in Computer Science from Carnegie Mellon. Certifications: Completed relevant professional development in Spark and Hadoop."
Cybersecurity,"Experienced Security Engineer with 6+ years of hands-on experience in the Cybersecurity domain. Passionate about delivering impactful results and working in cross-functional teams. Security Engineer at SentinelOne (2016–2018): Led initiatives involving ethical hacking, zero trust, and CEH. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging SOC and SIEM. Junior Security Engineer at Palo Alto Networks (2018–2022): Worked on projects using CISSP, IAM, and incident response. Contributed to team goals and supported senior staff with firewalls tasks. Technical Skills: ethical hacking, zero trust, CEH, SOC, SIEM, CISSP, IAM, incident response, firewalls, forensics Education: B.S. in Cybersecurity from George Mason. Certifications: Completed relevant professional development in SIEM and CISSP."
